X,Y,OBJECTID,COD_SIG_TR,COD_VIA,DESIGNACAO,HIERARQUIA,EIXO,TIPOLOGIA,SITUACAO,DUPL_TROC,ZONA,COMPRIMENTO,IDTIPO,SITUACAO_PROJ_OBRA,FREGUESIA,ZONAMENTO,ORCAMENTO,NOME_PROJETO,SITUACAO_PROJ,ANO,PERIODO,PLANEAMENTO_GVMG,TIPOLOGIA_AML,ESTADO_AML,F_PRINCIPAL,SGPI,VALIDACAO,GlobalID,Shape__Length
-9.12582417229354,38.7663084352474,1,B0000372,B0000372,Mata de Alvalade - Parque Urbano dos Olivais,Principal,Circular Exterior,Pista Ciclável Bidirecional,Executado,N,-,882.27,9196,,Olivais,,0,Mata de Alvalade - Parque Urbano dos Olivais,,-,,,Pista ciclavel (ciclovia),Executado,Via destinada a funcoes quotidianas,,,91a95781-da91-49c4-b185-fc5addba773f,1132.91240146107
-9.14490029280221,38.7187924164184,7,8051,34187,Avenida da Liberdade,Principal,Central,30+Bici,Executado,S,DEP,136.62,9196,,Santo António,Baixa,0,Avenida da Liberdade,,2013,,,Via banalizada,Executado,Via destinada a funcoes quotidianas,,,9e9caf01-df4d-4159-be3e-fdba4bc12280,175.348034437459
-9.18558991831005,38.7679573202694,28,22923,100487,Avenida Prof. Francisco da Gama Caeiro,Local,,Pista Ciclável Bidirecional,Executado,N,-,46.22,9196,,Carnide,,0, ,,2017,,,Pista ciclavel (ciclovia),Executado,Via destinada a funcoes quotidianas,,,f34dfd82-1a14-4f78-a860-cac5557f7ed4,59.3819920717721
-9.18542996660729,38.7673332519735,29,14433,100487,Avenida Prof. Francisco da Gama Caeiro,Local,,Pista Ciclável Bidirecional,Executado,N,-,65.93,9196,,Carnide,,0, ,,2017,,,Pista ciclavel (ciclovia),Executado,Via destinada a funcoes quotidianas,,,d428c106-2027-496c-9f80-e1507a1bdfa5,84.7789768040673
-9.18630930328799,38.7685859810032,30,18026,100487,Avenida Prof. Francisco da Gama Caeiro,Local,,Pista Ciclável Bidirecional,Executado,N,-,285.06,9196,,Carnide,,0, ,,2017,,,Pista ciclavel (ciclovia),Executado,Via destinada a funcoes quotidianas,,,0f02431d-4ca0-48bb-8070-812ba22a6cd4,365.294482037269
-9.19203226773859,38.760185255313,36,152704,101064,Avenida Cidade de Praga,Principal,Circular Exterior,Pistas Cicláveis Unidirecionais,Executado,S,ZON,30.32,9196,Empreitada 12/DMPO/DIVPS,Carnide,Avenida Cidade de Praga,0, ,Falta pinturas e SV - Aguarda orientações do DEP e DMPO,2017,,,Pista ciclavel (ciclovia),Executado,Via destinada a funcoes quotidianas,,,d5931660-9d18-4b8c-9a0c-de7f6e954ce1,38.9347294911716
-9.18548896021681,38.7676951205857,66,156935,100487,Avenida Prof. Francisco da Gama Caeiro,Local,,Pista Ciclável Bidirecional,Executado,N,-,26.22,9196,,Carnide,,0, ,,2017,,,Pista ciclavel (ciclovia),Executado,Via destinada a funcoes quotidianas,,,db496342-131b-4934-a964-9e95d0e35a6f,33.7125087768389
-9.18526000834627,38.7668867827155,67,152728,100487,Avenida Prof. Francisco da Gama Caeiro,Local,,Pista Ciclável Bidirecional,Executado,N,-,73.31,9196,,Carnide,,0, ,,2017,,,Pista ciclavel (ciclovia),Executado,Via destinada a funcoes quotidianas,,,7803ebaa-ddeb-4655-b775-127d323d254c,94.0126474921299
-9.18537944490223,38.7668865621094,68,152727,100487,Avenida Prof. Francisco da Gama Caeiro,Local,,Pista Ciclável Bidirecional,Executado,N,-,98.63,9196,,Carnide,,0, ,,2017,,,Pista ciclavel (ciclovia),Executado,Via destinada a funcoes quotidianas,,,ec74bca1-c7fb-49d6-95cc-f268f4e2e62b,126.567028911705
-9.19603214653355,38.7422967732155,73,13025,35222,Travessa de Francisco Rezende,Local,,Trilho,Executado,N,-,203.49,9196,,Benfica,Monsanto,0, ,,-,,,Via banalizada,Executado,Via destinada a funcoes de lazer,,,13146308-be67-43c1-aa48-68f0d152a5b6,260.613063363375
