X,Y,OBJECTID,COD_SIG,IDTIPO,INF_NOME,INF_MORADA,INF_TELEFONE,INF_FAX,INF_EMAIL,INF_SITE,INF_DESCRICAO,INF_FONTE,INF_MUNICIPAL,GlobalID
-9.18653448387668,38.7125202201823,1,0202631071,5,Parque da Tapada da Ajuda ,Calçada da Tapada,,,,,"A sua génese remonta a 1645 como Tapada Real de Alcântara, quando o rei D. João IV assim o determinou. Depois da mudança de residência dos reis para os altos da Ajuda, após o Terramoto de 1755, passou a designar-se por Tapada da Ajuda. Em tempos parque de caça e logradouro da família real, é atualmente um dos mais bonitos e frondosos parques botânicos de Lisboa. Possui diversos espaços verdes e infraestruturas abertas ao público, incluindo uma reserva botânica reconhecida internacionalmente pela sua floresta única de zambujeiros. Este espaço, atualmente gerido pelo Instituto Superior de Agronomia, aí instalado, é pontuado por alguns dos melhores exemplos de arquitetura civil da segunda metade do séc. XIX, nomeadamente o Pavilhão de Exposições e o Observatório Astronómico de Lisboa. A Tapada da Ajuda (conjunto intramuros) encontra-se classificada como Imóvel de Interesse Público.

Área: 100 ha

",-,1,e5f6da48-53cd-4b74-9078-1ccddf83b814
-9.151642714499,38.7150589781671,2,2201601001,5,Jardim Fialho de Almeida,Praça das Flores,,,,,"Pequena praça conhecida por Praça das Flores, mas também designada de Jardim Fialho de Almeida, em homenagem ao escritor. 

Área: 0,15 ha
Equipamentos: Quiosque com esplanada; Parque infantil; Lago
Horário: 24 horas",-,1,05bcabd1-57b7-4a37-9107-b8c464f0b3b0
-9.12418883128213,38.7159371160415,3,5100305001,5,Jardim Botto Machado / Jardim de Santa Clara,"Campo de Santa Clara
",,,,,"Pequeno espaço verde municipal, gradeado e com ruas asfaltadas com um estrato arbustivo e arbóreo bem desenvolvido. Também conhecido como Jardim de Santa Clara, foi construído em 1862, tendo mais tarde sofrido obras de beneficiação e passado para posse da CML em 1927. Batizado com o nome de Botto Machado em homenagem ao político português Pedro de Amaral Botto Machado. É sobretudo conhecido por se inserir na zona onde atualmente se realiza a Feira da Ladra.	

Área: 0,5 ha 
Equipamentos: Quiosque com esplanada; Parque Infantil;
Horário: 24 horas
",-,1,41272a97-33ff-4068-91de-c67b8f4c06b3
-9.13208249207538,38.7584819636009,4,4202301001,5,Parque José Gomes Ferreira - Mata de Alvalade,Avenida Almirante Gago Coutinho,,,,,"Integrado na Estrutura Verde Principal da cidade de Lisboa, o Parque José Gomes Ferreira, ou Mata de Alvalade como é vulgarmente conhecido, funciona, pela sua localização e características, como um excelente local de descontração e lazer bem no centro da cidade. Assim denominado em homenagem ao escritor e poeta, (1900-1985), o Parque situa-se em terrenos que outrora foram antigas quintas, como as Quintas de Alvalade, Charca e Narigão. A Quinta do Narigão, prolongamento da Mata de Alvalade, foi alvo de obra de reabilitação e encontra-se aberta ao público. A mata é composta por uma zona densamente arborizada, com bastante vegetação nativa, com um estrato arbustivo bem desenvolvidos e uma clareira na zona de vale. Para além da flora variada, esta mata serve de refúgio a várias espécies de aves. Em 1951 a mata foi objeto de arranjo sendo o projeto do arquiteto paisagista Gonçalo Ribeiro Telles. 

Área: 11ha
Equipamentos: Parque de merendas; Crcuito de manutenção; Rede de caminhos pedonais; Parque infantil; Quiosque com esplanada; Grelhadores; Pista ciclável
Horário: 24h
",-,1,c6d17db4-d2da-4624-adf7-c31ccf4764e6
-9.20322149696633,38.6962805736504,5,3200618001,5,Jardim Vasco da Gama,"Rua Vieira Portuense
1300-571 Lisboa",,,,,"Construído nos anos oitenta do século XX, projeto do arquiteto António Saraiva, em homenagem ao grande navegador português Vasco da Gama que, em 1498, descobriu o Caminho Marítimo para a Índia. Situa-se na Rua Vieira Portuense, num dos mais antigos conjuntos urbanos de Lisboa, de conceção medieval. Dispõe de amplos relvados.


Área: 4,2 ha
Equipamentos: Equipamentos de fitness; estatuária; parque infantil e sala Thai ¿ Pavilhão Tailandês
Horário: 24 horas",-,0,fc8d8a9e-5861-4dba-93f6-af1092619e72
-9.11586998618679,38.7327033513805,6,0702105100,5,Parque da Mata de Madre de Deus,"Largo da Madre de Deus
",,,,,"Na zona adjacente ao Bairro da Madre de Deus alguns terrenos baldios, que pela sua natureza agreste não foram urbanizados, ficaram votados ao abandono durante anos até serem recuperados e transformados pelo Município na Mata da Madre de Deus. Com uma mata densa, aqui poderá desfrutar de amplas sombras ou poderá ver, nas zonas mais baixas ou entre as árvores, a zona do Alto do Pina e do cemitério do Alto de São João, recortados a meio pelo vale de Chelas. 

Área: 4ha
Equipamentos: W.C; Mesas de merenda; Anfiteatro; Polidesportivo; Parque Infantil; Quiosque com esplanada; Equipamentos de fitness
Horário: 24 horas",-,1,4ef8e77c-a7ed-450e-b2be-a6fc129abdb3
-9.17064378776052,38.7448853712556,7,3905410102,5,Jardim Zoológico de Lisboa,"Praça Marechal Humberto Delgado
1549-004 Lisboa",+351 217 232 900,,info@zoolisboa.pt,www.zoo.pt,"Localizado no centro de Lisboa, tem mais de 2000 animais e de 360 espécies diferentes, e muitas atrações tudo num só bilhete: baía dos golfinhos, teleférico, a Quintinha, o Reptilário, a alimentação de leões marinhos e pelicanos, o Bosque Encantado - apresentação de aves em voo livre, Cobras & Lagartos e o comboio do zoo.

Horário: 
Verão: das 10h00 às 20h00 
Inverno: das 10h00 às 18h00",-,0,f00d6b19-42f3-46d3-bc47-b0593770616c
-9.16158768093848,38.7801810303653,8,0501102002,5,Jardim da Quinta de Santa Clara ,"Estrada da Ameixoeira
",,,,,"Antiga quinta de recreio do século XVIII, foi doada à Câmara Municipal de Lisboa, entre 1974-1977 e depois recuperada e classificada como Jardim Público. Posteriormente, procederam-se a várias reformas, tentando seguir a sua traça original: o estilo barroco. Possui muito interesse do ponto de vista artístico, onde se destaca um painel de azulejo com a figura de D. Celeste Tavares de Carvalho. Alvo de obras de remodelação recentes, que incluíram a instalação de um quiosque e a construção de um parque infantil.

Área: 1,8 ha
Equipamentos: Quiosque com esplanada; Parque infantil; Painel de azulejos
Horário: 
Abril - Setembro: das 06h00 à 01h00 
Outubro a Março: das 06h00 às 23h00


",-,1,7b119d4d-24ce-4ad6-88f5-8c196bcf997e
-9.09309618636133,38.7614481582653,9,3308505100,5,Jardins da Água - Parque das Nações,"Parque das Nações - Alameda dos Oceanos
1990-096 Lisboa",,,,,"Integrado no Parque das Nações, na frente ribeirinha do estuário do Rio Tejo, situa-se entre o Teatro Camões e o Oceanário de Lisboa. Acompanhando um curso de água central, o visitante irá deambular por entre várias componentes de uma bacia hidrográfica natural: o glaciar, a corrente, o lago artificial, os meandros e o estuário. A sequência dos Jardins da Água é na direção poente-nascente, com a seguinte constituição: Jardim das Palmeiras, Pomar do Mediterrâneo, Lago Ulisses, Edifício da Cascata, Jardim Hidráulico e Jardim das Ondas.

Área: 0,5 ha 
Horário: 24 horas",-,1,650d007c-bdf8-4b9d-97e4-72a57f3cd59a
-9.19967118787683,38.7550862662163,10,0800601001,5,Eucaliptal de Benfica,Estrada dos Arneiros,,,,,"O Jardim do Eucaliptal de Benfica integrava a extensa e frondosa mata da Quinta das Palmeiras de Guerreiro Galla e foi um dos principais pulmões da Freguesia de Benfica. A Junta de Freguesia tem dinamizado o espaço com eventos variados.

Área: 1,1 ha
Equipamentos: Parque Infantil
Horário: 24 h
",-,1,d6b3691a-bf9f-4638-a8d4-0f8af853ad73
