X,Y,INF_NOME,MORADA1,FREGUESIA
-9.20592914769173,38.6995406948665,Museu do Centro Cultural Casapiano,"['Centro Cultural Casa Piano', ' Rua dos Jerónimos', ' Restelo', ' Belém', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1400-209', ' Portugal']",Belém
-9.11370109645975,38.7247334037702,Museu Nacional do Azulejo,"['Museu Nacional do Azulejo', ' 4', ' Rua da Madre de Deus', ' São João', ' Penha de França', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1900-439', ' Portugal']",Penha de França
-9.14874263924984,38.7208591887865,Cinemateca Portuguesa - Museu do Cinema,"['Cinemateca', ' Rua Barata Salgueiro', ' São Mamede', ' Santo António', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1250-191', ' Portugal']",Santo António
-9.14348239150859,38.7136140944626,Museu de São Roque,"['Museu-Igreja de São Roque', ' Largo Trindade Coelho', ' Encarnação', ' Misericórdia', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1200-470', ' Portugal']",Misericórdia
-9.11801570297276,38.758852332522395,Coleção Museológica de Rádio e de Televisão,"['RTP/RDP', ' Avenida Marechal Gomes da Costa', ' Chelas', ' Marvila', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1700-003', ' Portugal']",Marvila
-9.14023416788286,38.712151028963106,Museu Arqueológico do Carmo,"['Igreja do Convento de Santa Maria do Carmo', ' Largo do Carmo', ' Chiado', ' Santa Maria Maior', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1200-092', ' Portugal']",Santa Maria Maior
-9.17072639324081,38.7028810086041,Museu do Oriente,"['Museu do Oriente', ' Avenida de Brasília', ' Prazeres', ' Estrela', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1350-070', ' Portugal']",Estrela
-9.16714912481133,38.774684031027604,Museu Nacional do Teatro e da Dança,"['Museu Nacional do Teatro e da Dança', ' 10', ' Estrada do Lumiar', ' Quinta dos Alcoutins', ' Lumiar', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1600-483', ' Portugal']",Lumiar
-9.127857323628689,38.7148119816125,Museu de São Vicente de Fora,"['Igreja de São Vicente de Fora', ' Largo de São Vicente', ' São Vicente de Fora', ' São Vicente', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1100 - 572', ' Portugal']",São Vicente
-9.155690305776929,38.7080001257922,Museu da Marioneta,"['Convento das Bernardas do Mocambo', ' 8', ' Travessa do Convento das Bernardas', ' Madragoa', ' Santos-o-Velho', ' Estrela', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1200-638', ' Portugal']",Estrela
-9.14075326925126,38.7122044177622,Museu da Guarda Nacional Republicana ,"['Quartel do Carmo', ' Calçada do Carmo', ' Sacramento', ' Chiado', ' Santa Maria Maior', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1200-158', ' Portugal']",Santa Maria Maior
