X,Y,OBJECTID,COD_SIG,IDTIPO,INF_NOME,INF_MORADA,INF_TELEFONE,INF_FAX,INF_EMAIL,INF_SITE,INF_DESCRICAO,INF_FONTE,INF_MUNICIPAL,GlobalID
-9.20592914769173,38.6995406948665,1,3200614103001002,999,Museu do Centro Cultural Casapiano,Rua dos Jerónimos 5 R/C,21 361 08 30 ,,centro.cultural@casapia.pt,http://www.casapia.pt,"O Museu do Centro Cultural Casapiano foi criado em 2000 e pretende dar a conhecer a história da instituição, desde os seus primórdios (quando ainda estava sediada no Castelo de São Jorge), passando pelo Convento do Desterro e pela sua actual localização, o Mosteiro dos Jerónimos.
",http://www.casapia.pt,0,6c90e990-bd50-488f-85ff-baf6c0e55988
-9.11370109645975,38.7247334037702,2,4103302007001003,999,Museu Nacional do Azulejo,"Rua da Madre de Deus, 4
",+ 351 218 100 340,,geral@mnazulejo.dgpc.pt,www.museudoazulejo.pt,"Este Museu apresenta um espólio de Azulejaria principalmente portuguesa, com um núcleo de produção estrangeira. A exposição permanente permite conhecer a evolução do azulejo em Portugal do séc. XV ao séc. XX, destacando-se neste conjunto o Retábulo de Nossa Senhora da Vida, c.1580, os frontais de altar de influência oriental e a sala da caça do séc. XVII, as vitórias de Alexandre, 1ª metade do séc. XVIII, a História do Chapeleiro de finais do séc. XVIII, o revestimento da Padaria Independente do início do séc. XX e múltiplas peças de autor desde a Arte Nova até à atualidade.
O Museu dispõe de Biblioteca especializada em Cerâmica e Azulejo.
",-,0,13921561-a84a-486b-97e4-51a88172b161
-9.14874263924984,38.7208591887865,3,1401009042001004,999,Cinemateca Portuguesa - Museu do Cinema,"Rua Barata Salgueiro, 39",+ 351 213 596 200,,cinemateca@cinemateca.pt,www.cinemateca.pt/,"O Museu, espaço dedicado à exposição da vasta e rica coleção relacionada com a temática do cinema, distribui-se por duas salas:
- A Sala dos Cupidos alberga algumas relíquias que contam a história das origens do cinema, onde se incluem diversos modelos de lanternas mágicas (utilizadas, ocasionalmente, em espetáculos da especialidade);
- Na Sala dos Carvalhos estão expostos aparelhos cinematográficos, fotografias e livros e o primeiro projetor Lumiére usado em Portugal.",www.cinemateca.pt/,0,b8d27639-d361-4a45-8849-f88d3ff337a4
-9.14348239150859,38.7136140944626,4,1500801016001002,999,Museu de São Roque,"Largo Trindade Coelho
",+351 213 235 065,,info@museu-saoroque.com,www.museu-saoroque.com,"O Museu de São Roque, um dos mais ricos e antigos Museus da cidade, está instalado no espaço da antiga Casa Professa da Companhia de Jesus, contíguo à Igreja de São Roque. Aberto ao público em 1905, recebeu importantes obras de restauro e melhoramentos ao longo dos anos, reabrindo novamente em dezembro de 2008.
Dedicado maioritariamente à riquíssima Arte Sacra, alberga peças executadas entre o século XVI e o século XX. A exposição permanente é constituída por uma coleção de mais de 300 peças composta essencialmente por obras de ourivesaria, escultura, pintura e relicários, a que se associam 140 peças do acervo textil a apresentar, em regime de rotatividade, por razões de conservação e devido à sua significativa extensão. O espaço da exposição permanente está organizado em cinco núcleos:
Núcleo da Ermida de São Roque evoca a memória da primitiva Ermida de São Roque, erguida em 1506, mais tarde demolida para dar lugar à casa-mãe da Companhia de Jesus em Portugal. Em exposição encontram-se: o conjunto de quatro tábuas pintadas alusivas à vida e à lenda de São Roque, duas lápides, alguns vestígios de azulejos, e ainda a relíquia original de São Roque, solicitada à República de Veneza;

Núcleo da Companhia de Jesus, dedicado a um conjunto de obras provenientes da Igreja e da antiga Casa Professa de São Roque que testemunham a iconografia da Ordem, entre elas a notável coleção de relicários;

Núcleo de Arte Oriental, alusivo à missionação da Companhia no Oriente, acolhe peças que são exemplo da renovação da arte cristã, manifestada na integração de modelos decorativos, técnicas e materiais orientais nas formas ocidentais;

Núcleo da Capela de São João Batista, encomendada por D. João V a Roma, esta capela é um relevante testemunho de arte italiana do século XVIII;

Núcleo da Santa Casa da Misericórdia de Lisboa, dedicado à SCML inclui doações, legados e aquisições que, ao longo do tempo, enriqueceram o espólio do museu.

Dispõe de loja com merchandise inspirado nas coleções do museu, cafetaria e esplanada.
",-,0,37c8123c-bf60-4e5f-a1e7-40db3706c2ec
-9.11801570297276,38.7588523325224,5,2105106021001001,999,Coleção Museológica de Rádio e de Televisão,"Rua Conselheiro Emídio Navarro, Edifício RTP

",+351 217 947 923,,museu.virtual@rtp.pt,ww1.rtp.pt/icmblogs/rtp/novidades/?k=RTP-%96-Coleccao-Visitavel-Museologica-de-Radio-e-de-Televisao.rtp&post=15693,"A Coleção Museológica de Rádio e de Televisão pretende partilhar com os visitantes algumas das emblemáticas peças do seu valioso espólio (cerca de 2.500 peças), registo da história e da atividade radiofónica e televisiva em Portugal.
A evolução tecnológica destes meios de comunicação é mostrada, cronologicamente, através de equipamentos de gravação/ reprodução, receção e transmissão profissionais e domésticos.
Foi recriado um estúdio de rádio dos anos 50 e há um moderno estúdio de televisão onde o visitante pode gravar a sua própria emissão.
O espaço disponibiliza ainda uma zona interativa onde é possível recordar alguns conteúdos radiofónicos e televisivos, organizados por décadas.
Como recurso pedagógico, a Coleção Museológica dispõe de uma zona multimédia onde o visitante pode visionar programas que retratam a história da rádio e da televisão, assim como conteúdos em alta definição, que assinalam uma nova fase na tecnologia televisiva.
",-,0,b589812d-0f81-4af3-a496-7e017686b90b
-9.14023416788286,38.7121510289631,6,2700301048001001,999,Museu Arqueológico do Carmo,"Largo do Carmo 
",+351 213 478 629,,secretaria@arqueologos.pt,www.museuarqueologicodocarmo.pt/p_museu.html,"O museu encontra-se instalado nas denominadas Ruínas do Carmo, correspondendo à antiga Igreja do Convento de Nossa Senhora do Vencimento do Monte do Carmo, fundado por D. Nuno Álvares Pereira em 1389. O antigo templo gótico ficou bastante danificado com o terramoto de 1755 mas conserva ainda estruturas e elementos primitivos (séc. XIV-XV), onde se destacam os portais virados a Ocidente e Sul, ornados com belos capitéis vegetalistas e antropomórficos.
O acervo deste museu integra peças de valor histórico, arqueológico e artístico, contemplando artefactos e obras desde a Pré-História à contemporaneidade.
As civilizações Pré e Proto-Históricas estão representadas por uma coleção de artefactos arqueológicos do Paleolítico, Neolítico, Calcolítico, Bronze Antigo e Idade do Ferro.
As civilizações Egípcia e Pré-Colombiana estão presentes através de uma coleção de cerâmicas e peças metálicas, múmias peruanas e uma múmia egípcia.
A Antiguidade Clássica faz-se representar através de obras e fragmentos do período romano com especial destaque para uma arca tumular decorada com elegantes relevos.
Da Alta Idade Média destaque para o período de domínio islâmico peninsular.
Dos séculos do Gótico têm especial relevo os exemplares de tumulária dos séculos XIV e XV onde foram sepultados membros da Casa Real.
O museu possui ainda uma excelente coleção de Pedras de Armas de grande interesse heráldico.

",-,0,cd6bd61b-f6c6-4d1f-8848-32f35d4aac44
-9.17072639324081,38.7028810086041,7,2602406001002001,999,Museu do Oriente,"Avenida Brasília
",+351 213 585 200,,info@foriente.pt,www.museudooriente.pt,"O Museu do Oriente, inaugurado a 8 de maio de 2008, está instalado no antigo Edifício Pedro Álvares Cabral, projeto inicial do arquiteto modernista João Simões, em 1939/40 e agora readaptado pelos arquitetos Carrilho da Graça e Rui Francisco.
O acervo do Museu, ilustrativo das relações que Portugal estabeleceu com a Ásia, integra, entre outros, núcleos de arte chinesa, indo-portuguesa, japonesa e timorense. Núcleos traduzidos por objetos votivos e de ritual, cerâmicas e terracotas, têxteis, mobiliário, pintura e máscaras, aos quais se juntou, em 1999, por doação do sinólogo francês Jacques Pimpaneau, a Coleção Kwok On de arte popular asiática: 13 mil peças, muitas delas raras e de grande escala.

O Museu do Oriente está organizado em torno de duas grandes exposições permanentes: 
Presença Portuguesa na Ásia
Exposição constituída por objetos artísticos e documentais, integra várias peças de excecional valor, com destaque para os biombos chineses e japoneses dos séculos XVII e XVIII, para os vários objetos de arte namban, para uma coleção de peças de porcelana brasonada da Companhia das Índias e para um significativo acervo relacionado com as culturas dos Povos de Timor.
Deuses da Ásia
Exposição organizada a partir do extenso acervo da Coleção Kwok On, testemunhos das artes performativas e das grandes mitologias e religiões populares de toda a Ásia. Esta coleção é considerada uma das mais importantes no género, à escala europeia, possuindo exemplares de notável qualidade e de grande espetacularidade.

O programa de exposições temporárias está vocacionado para a divulgação das artes da Ásia, dando a conhecer os seus mais variados aspetos.

O museu integra um auditório , um centro de documentação, um centro de reuniões, uma loja/livraria, uma cafetaria e um restaurante
",-,0,ad636bbe-8b71-46e2-b1b5-b9fae1499715
-9.16714912481133,38.7746840310276,8,1804410001001004,999,Museu Nacional do Teatro e da Dança,"Estrada do Lumiar, 10 
",+351 217 567 410 /19,,geral@mnteatroedanca.dgpc.pt,http://www.museudoteatroedanca.gov.pt,"Instalado numa antiga casa de veraneio do séc. XVIII, Palácio do Monteiro-Mor, o seu espólio documenta a evolução do Teatro em Portugal, nos sécs. XIX e XX, com destaque para maquetas de cenários, trajes e adereços de cena, figurinos, desenhos, pinturas, esculturas, caricaturas, fotografias, programas, postais, folhas de música, além de todo o tipo de objetos que tenham pertencido ou tenham a ver com gente do palco.
O Museu dispõe de Biblioteca especializada em Artes do Espetáculo, com mais de 40.000 volumes, aberta ao público em geral.

Há um Bilhete Museu Nacional do Traje + Museu Nacional do Teatro e Dança+ Parque do Monteiro-Mor
",-,0,3e0c9faf-1a38-48d2-9a8b-9953b079a384
-9.12785732362869,38.7148119816125,9,5101101001001001,999,Museu de São Vicente de Fora,"Largo de São Vicente 
Mosteiro de São Vicente de Fora
",+351 218 810 500,,ccultural@patriarcado-lisboa.pt,,"Museu tutelado pelo Patriarcado de Lisboa, abriu ao público nos anos 90 do século XX.
O espaço museológico encontra-se organizado em quatro temas: 
A Igreja Lisbonense e dos Patriarcas, exposição permanente que inclui peças de pintura, escultura, ourivesaria e paramentaria; 

Arte e Arquitetura, um percurso á volta da evolução artista do mosteiro. O Mosteiro Medieval: Cisterna, O Mosteiro Maneirista: Claustros, O Mosteiro Barroco: Portaria, Sacristia e Capela do Cardeal; Sepultamentos e Memória, conjunto de lápides e imponentes monumentos fúnebres de clérigos, cruzados e monarcas, desde a Conquista de Lisboa ao Estado Novo. 

Cónegos e Cruzados: Claustros; 

Poder e Memória: A Capela do Cardeal e dos Meninos de Palhavã, o Panteão dos Bragança e dos Patriarcas;
Azulejaria Barroca, a maior coleção de azulejaria barroca num mesmo edifício. Do Barroco Inicial ao Ciclo dos Mestres: Escadaria do Cardeal, Portaria; A Grande Produção Joanina: Claustros, Escadaria dos Sinos; Do Rococó às Últimas Manifestações: Sala do Concelho, Galeria das Fábulas (de La Fontaine)",-,0,c5fcadb6-f8bf-4166-a714-889ee7cede28
-9.15569030577693,38.7080001257922,10,3701302003001002,999,Museu da Marioneta,"Rua da Esperança, 146
",+351 213 942 810,,museu@museudamarioneta.pt,www.museudamarioneta.pt,"O Museu foi criado em 1987  pela Companhia de Marionetas de S. Lourenço que, através da sua atividade, deu continuidade a uma tradição portuguesa de teatro e ópera para marionetas.
O novo Museu, constituído pelo espólio do antigo museu e outras coleções, tem mais de mil peças, onde se incluem marionetas de todos os tipos de técnica de manipulação e máscaras provenientes das mais diversas partes do mundo e culturas. O objetivo do museu é recolher, manter, conservar, investigar exibir e divulgar o teatro de marionetas, fomentando a aprendizagem o conhecimento e interesse pelo universo da Marioneta.

Dispõe de uma sala de espetáculos, espaços de exposições temporárias e Espaço Criança - local de aprendizagem e criação.

O serviço educativo promove visitas organizadas, onde serão abordadas as diferentes formas e tipos de marionetas, a sua manipulação, história e construção.
",-,0,e54657e9-2cf1-41be-8c5a-4b8a5018a3ea
-9.14075326925126,38.7122044177622,11,2700301017001001,999,Museu da Guarda Nacional Republicana ,"Largo do Carmo, 28",+351 213 217 222,,museu@gnr.pt,http://www.arquivomuseugnr.pt/,"Inaugurado em 2014 e situado no Quartel do Carmo, este museu evoca mais de 600 anos de história, desde finais do século XIV, com a fundação do Convento da Ordem do Carmo, pelo Condestável D. Nuno Álvares Pereira, que em 1755 ficou destruído pelo terramoto de Lisboa. A partir de 1801, este edifício passou a funcionar como Comando-Geral das Guardas militares de polícia até à atual Guarda Nacional Republicana. Aqui ocorreu o fim da ditadura em Portugal, com a Revolução dos Cravos, de 25 de abril de 1974. É um museu de orientação histórica, policial e militar, expondo espólio desde a Idade Média até à contemporaneidade. 
Visitas guiadas para grupos com marcação prévia. ",-,0,fe6fe05c-3a93-4640-8eb2-7606503f2f18
-9.13978944252842,38.7162351036796,12,2400601065001001,999,Museu da Sociedade de Geografia de Lisboa,"Rua das Portas de Santo Antão, 100 
",+351 213 425 401,,geral@socgeografialisboa.pt,www.socgeografialisboa.pt/,"Fundada por iniciativa de Luciano Cordeiro em 1875, a Sociedade de Geografia de Lisboa ocupa, desde 8 de julho de 1897, instalações de rara beleza arquitetónica e decorativa na Baixa da cidade.
O Museu Etnográfico possui um notável acervo nas áreas da Etnologia e História, em especial espécies relativas às antigas possessões portuguesas em África e Ásia.
O Museu é composto por várias salas:
A ""Sala Portugal"" com os seus 50m de comprimento, rodeada por duas ordens de galerias é onde se encontra grande parte do espólio museológico.
Na ""Sala Algarve"" destaca-se o grande planisfério luminoso com as rotas dos Descobrimentos seguidas pelos navegadores portugueses entre 1482 e 1660, e que foi feito para figurar na Exposição Internacional de Paris de 1931.
Na ""Sala da Índia"" podem ser vistas bandeiras de algumas expedições a África, dois enormes Globos de Coronelli e ainda portulanos, manuscritos e gravuras.
O acervo da ""Sala dos Padrões"" é constituído por peças ligadas aos Descobrimentos Portugueses, com relevo para os padrões de Pedra colocados pelos portugueses na costa africana.
A Bilblioteca da SGL é reconhecida nacional e internacionalmente como imprescindível no estudo da História dos Descobrimentos e Expansão Portuguesa, o seu espólio bibliográfico é constituído por 62.000 obras, inúmeras revistas e cerca de 6.000 documentos manuscritos, num total de 230.000 títulos.
A título de exemplo mencionam-se os diários de viagem de Hermenegildo Capelo, Roberto Ivens, Silva Porto e Gago Coutinho assim como a coleção de desenhos de George Chinnery.
Na Mapoteca encontra-se o espólio cartográfico da SGL onde se encontram riquíssimos exemplares de atlas, mapas e plantas portugueses e estrangeiros de todos os períodos.

",-,0,55370f38-56b4-45c6-b973-ebecf7f20de1
-9.1823923287454,38.7008257463652,13,0202502041001001,999,Museu do Centro Cientifico e Cultural de Macau,"Rua da Junqueira, 30 

",+351 213 617 570,,museu@cccm.pt,www.cccm.pt/,"Este museu apresenta de forma didática imagens, objetos, modelos, novas tecnologias e textos de apoio conduzindo o visitante a uma viagem no tempo e no espaço aos Mares da China.
O Museu apresenta ""A Condição Histórico-Cultural de Macau nos séculos XVI e XVII"", onde através de objetos e espetáculos multimédia se penetra em Macau e se compreendem as relações luso-chinesas estabelecidas.
""A Coleção de Arte Chinesa"" reúne exemplares de terracota, grés, bronze, porcelana, numismática, pintura, pratas e têxteis agrupados do Neolítico à atualidade.
Tem esplanada.

",-,0,20e360ef-d2a1-4a9a-bdca-9e061fab490e
-9.12505909397655,38.7129124159471,14,3600903001001002,999,Museu Militar de Lisboa,"Largo do Museu de Artilharia
",+351 218 842 300,,museumilitar@portugalmail.pt,www.exercito.pt/sites/MusMilLisboa/Historial/Paginas/default.aspx,"É o Museu mais antigo da cidade de Lisboa. Nas suas salas de grande beleza ornamental em talha, azulejaria e pintura, estão expostas valiosas coleções, com destaque para a de artilharia, considerada a mais completa do mundo.
As suas coleções, de caráter militar, são constituídas por peças raras, sendo algumas de grande valor artístico. Armamento ligeiro e sua evolução, salas subordinadas a determinados períodos da História de Portugal, focando especialmente as armas correspondentes. Miniaturas, esculturas, arqueologia e documentos fotográficos.
Este Museu está instalado em edifício com valor histórico: Arsenal Real do Exército, desde 1764, passando a Museu de Artilharia em 1851, designação que conservou até 1926, data em que passou a chamar-se Museu Militar.

",-,0,b171d02f-1de0-40d6-a7b5-41088629bd79
-9.1491296792883,38.7217456544968,15,1401007019001001,999,Casa-Museu Medeiros e Almeida,"Rua Rosa Araújo, 41
",+351 213 547 892,,nfo@casa-museumedeirosealmeida.pt,www.casa-museumedeirosealmeida.pt,"Situada no centro de Lisboa, a Casa-Museu Medeiros e Almeida alberga uma coleção de artes decorativas deixada ao país pelo empresário António de Medeiros e Almeida (1895-1986), que em 1972 criou uma Fundação com o seu nome.

A coleção, exposta na casa habitada pelo casal Medeiros e Almeida, percorre 27 salas onde se admiram obras de arte portuguesas e estrangeiras, que datam do século II a.C. ao século XX e onde se incluem peças de mobiliário, pintura, escultura, ourivesaria, joalharia, arte sacra e têxteis. Destacam-se ainda quatro coleções expostas em salas próprias; relógios, porcelanas da China, pratas e leques.
A casa compreende duas áreas museológicas distintas; a Ala Antiga que foi habitada pelos donos da casa e que foi mantida tal como estava no seu tempo e a Ala Nova, construída sobre o antigo jardim da casa, que acrescentou ao museu salas com ambientes reconstituídos, especialmente de gosto francês.

O acervo caracteriza-se por um gosto muito eclético sendo que muitas das peças, para além do valor artístico, têm também valor histórico; entre elas, um conjunto de peças de porcelana da China com símbolos do rei D. Manuel I e de Portugal com 500 anos, um serviço de chá em prata portuguesa que acompanhou Napoleão Bonaparte no exílio, um relógio de bolso Breguet em ouro e platina encomendado pelo General Junot em 1808, um retrato inglês de D. Catarina de Bragança, um leque pertencente à Imperatriz Eugénia do Montijo...

A Casa-Museu dispõe de uma loja com artigos exclusivos e uma cafetaria, abertos no horário do museu.
",-,0,0e33c278-71e2-4a90-8e5d-8583baacb56b
-9.13785522149968,38.7070238684336,16,4800130004001012,999,Museu de Lisboa - Torreão Poente,"Praça do Comércio, 1",,,info@museudelisboa.pt,www.museudelisboa.pt,"Edifício que é parte integrante do conjunto edificado da Praça do Comércio, concebido após o Terramoto de 1755. 
Localiza-se sensivelmente no local onde existiu antes do Terramoto, o Paço da Ribeira. É um espaço dedicado a exposições temporárias de média duração, de temáticas diversas relacionadas com a história e o presente de Lisboa.

",-,1,32bb1e87-b460-4551-98d3-08b962d48005
-9.15642454916431,38.7584798228762,17,0902002001001002,999,Museu de Lisboa - Palácio Pimenta,"Campo Grande, 245
",+351 217 513 200,,info@museudelisboa.pt,www.museudelisboa.pt,"Museu de Lisboa é o novo nome do Museu da Cidade. Um nome que traz consigo um novo conceito, o de um museu polinucleado, no qual Lisboa e as suas histórias se revelam sob diferentes perspetivas. São cinco os núcleos do Museu de Lisboa - Palácio Pimenta, Teatro Romano, Santo António, Torreão Poente e Casa dos Bicos - com valências e objetivos complementares, que partilham uma missão, uma identidade e uma nova imagem. O propósito é o de revelar Lisboa de diferentes formas, para dar a conhecer a riqueza de uma das cidades mais antigas da Europa.

",-,1,26fd15aa-7343-4dd8-bd13-86395d3b2ed8
-9.13884669477369,38.7085052975316,18,4800126005001001,999,Museu do Dinheiro,"Largo de São Julião, 26 - R/C",+351 213 213 240,,info@museudodinheiro.pt,www.museudodinheiro.pt,"O Museu do Dinheiro, instalado na antiga igreja de São Julião, inteiramente restaurada no âmbito do projeto de reabilitação da sede do Banco de Portugal, oferece aos visitantes a oportunidade de conhecerem exemplares raros de notas e moedas de todo o mundo, numa experiência inovadora e interativa.

Tocar uma barra de ouro, fazer uma viagem virtual ao século XII, ver a primeira moeda da história, cunhada há cerca de 2 700 anos, conhecer a evolução das moedas e notas portuguesas ou cunhar virtualmente uma moeda com o rosto do visitante, são alguns dos atrativos deste espaço museológico.

O visitante é ainda convidado a descer à cripta da antiga igreja e a descobrir o único troço conhecido da Muralha de D. Dinis (Monumento Nacional).

Entrada Gratuita",-,0,23a76c10-e272-4572-9d99-e7f96be75851
-9.14627837088097,38.7325245606262,19,5000608009001002,999,Casa-Museu Doutor Anastácio Gonçalves,"Avenida Cinco de Outubro, 6-8
",+351 213 540 823,,divulgacao@cmag.dgpc.pt,http://blogdacmag.blogspot.pt/ ,"Instalada na casa onde viveu o pintor José Malhoa. Do acervo é de salientar uma coleção de pintura portuguesa dos séculos XIX e  XX.
A Casa -Museu possui ainda um importante espólio de porcelana chinesa do séc. XIII ao séc. XVIII, de referência internacional. Mobiliário português, francês, inglês e holandês dos séculos XVII e XVIII.Coleções de ourivesaria, relojoaria, têxteis, vidros e medalhística.
A denominada ""Casa Malhoa"" foi Prémio Valmor 1905. Projeto da autoria de Norte Júnior.
",-,0,f9491270-1725-4ed9-a6a4-66669da6149b
-9.14217296403132,38.7155597389024,20,3100403047001001,999,Museu Nacional do Desporto,"Praça dos Restauradores
Palácio Foz",+351 213 958 629,,museu@ipdj.pt,,"Aberto ao público a 12 de julho de 2012, por altura da comemoração dos 100 anos de participação de Portugal nos Jogos Olímpicos, e ano em que os mesmos se realizaram em Londres.
O museu beneficiou de várias doações que permitem dar a conhecer o legado desportivo nacional - medalhas, taças e equipamentos usados em competições importantes. 
Em exposição encontram-se artigos que pertenceram a atletas que colocaram o nome de Portugal no panorama desportivo internacional. De realçar as sapatilhas usadas pelo velocista António Rodrigues nas Olimpíadas de Los Angeles em 1932, a bota de ouro conquistada em 1965 por Eusébio, o equipamento com que Rosa Mota ganhou a maratona nos Jogos Olímpicos de Seul em 1988, uma camisola do mítico ciclista Joaquim Agostinho, o fato de Pedro Lamy nas 24 Horas de Le Mans, algumas das peças que o alpinista João Garcia usou nas subidas aos 14 picos mais altos do planeta.
O espaço Herança Olímpica, alusivo aos cem anos da participação portuguesa em Jogos Olímpicos, conta com cartazes das Olimpíadas ao longo da história, medalhas dos atletas portugueses, equipamentos, fatos oficiais e réplicas de Fachos Olímpicos.
Parte integrante do Museu é a sua vasta biblioteca dedicada ao desporto, a Biblioteca Nacional do Desporto. Com um acervo de aproximadamente 60 mil itens entre livros, monografias, publicações periódicas, vídeos, DVD, suportes áudio e outros. 
De entre os itens da BND destaca-se a obra «De Arte Gymnastica», de Hieronymus Mercurialis, de 1577, considerado o primeiro livro de desporto editado no mundo.
",-,0,217bb096-23b1-4a60-b054-9ae9d749d5b9
-9.2012721186638,38.6973545692592,21,3202701020001001,999,Museu da Presidência da República,"Praça Afonso de Albuquerque  

",+351 213 614 660,,museu@presidencia.pt,www.museu.presidencia.pt/,"O Palácio Nacional de Belém alberga, desde outubro de 2004, o Museu da Presidência da República, instalado nas antigas cocheiras do palácio. Este museu pretende ser um testemunho da vida e da obra dos vários presidentes da República Portuguesa e resulta de uma pesquisa e recolha exaustiva, ordenada pelo Dr. Jorge Sampaio. Pretende assim ilustrar o percurso de mais de 90 anos de regime republicano em Portugal, num esforço de aproximação e de esclarecimento do público. 
  O espaço museológico está organizado segundo uma lógica temática e cronológica, com recurso frequente às novas tecnologias da informação para criar um local em que a interatividade seja meio especial de diálogo entre o espólio e o utilizador. A exposição permanente, por exemplo, articula-se à volta de sete núcleos principais: República e Símbolos Nacionais (relacionado com a implantação deste regime em Portugal), República e seus Presidentes, Presentes de Estado, Os Presidentes da República (que inclui para além dos quadros a óleo de cada um dos 17 Chefes de Estado, objetos pessoais e vário acervo documental, político e biográfico de cada um deles), Palácio de Belém (visita virtual ao interior e jardins do palácio), Ordens Honoríficas e Poderes do Presidente, uma sala com pontos informáticos, onde o visitante pode aceder a informação relacionada com a presidência da república, em vários registos de linguagem e níveis de informação (do básico ao especializado). 
O museu prima também pela oferta de uma extensa e importante programação cultural, em que se apresenta um misto de iniciativas culturais e atividades lúdicas, dirigidas a públicos com características diferentes, que vão dos ciclos de conferências aos cursos e até a uma aula virtual, a que é possível aceder através do website do museu. O museu da presidência da República possui um espaço para exposições temporárias, loja, auditório, cafetaria e esplanada.

Visita guiada ao Palácio Nacional de Belém e Jardins ao sábado (11h00-16h00) e ao domingo (14h30-16h00) 



",-,0,130cf15b-6ea7-45fe-968c-1691a6318d3b
