X,Y,OBJECTID,COD_SIG,IDTIPO,INF_NOME,INF_MORADA,INF_TELEFONE,INF_FAX,INF_EMAIL,INF_SITE,INF_DESCRICAO,INF_FONTE,INF_MUNICIPAL,GlobalID
-9.15671327128989,38.7265022222289,1,5001305007001001,999,Escola Secundária Maria Amália Vaz Carvalho,"Rua Rodrigo da Fonseca, 113",+351 213 841 910,,esmavc@mail.telepac.pt,http://moodle.esmavc.edu.pt/,"Cursos nas Áreas CIENTÍFICO-HUMANÍSTICAS:  
Ciências e Tecnologias, Ciências Socioeconómicas, Línguas e Humanidades, Artes Visuais

Áreas de CURSOS PROFISSIONAIS:  
Desporto, Hotelaria e Restauração",Ministério da Educação,0,41119946-c066-414c-82a8-12fbda33d2e2
-9.16222525841477,38.7419865266753,2,2303802029001001,999,Escola Secundária D. Pedro V,"Estrada das Laranjeiras , 122
",+351 217 246 060,,direccao@ael.edu.pt,http://ael.edu.pt/ ,"Cursos nas Áreas CIENTÍFICO-HUMANÍSTICAS:  
Ciências e Tecnologias, Ciências Socioeconómicas, Línguas e Humanidades

Áreas de CURSOS PROFISSIONAIS:  
Turismo e Lazer, Artes do Espetáculo, Desporto, Ciências Informáticas, Saúde, Comércio, Secretariado e Trabalho Administrativo",Ministério da Educação,0,d2ce51c9-f9f8-49b1-a488-7b99d2d31b55
-9.19410643371218,38.7474714340612,3,0806704002001001,999,Escola Secundária José Gomes Ferreira,Rua Prof. José Sebastião e Silva,+351 217 121 470,,direcao.esjgferreira@aebenfica.pt,https://sites.google.com/a/aebenfica.pt/aebenfica/,"Cursos nas Áreas CIENTÍFICO-HUMANÍSTICAS:  
Ciências e Tecnologias, Ciências Socioeconómicas, Línguas e Humanidades, Artes Visuais

",Ministério da Educação,0,aced00ec-c9a0-4276-8cc1-ce67d8608140
-9.18085197854456,38.7615232380802,4,1103701026001001,999,Escola Secundária Vergílio Ferreira,"Rua do Seminário, Quinta dos Inglesinhos",+351 217 122 020,,esvf@aevf.pt,http://www.aevf.pt/,"Cursos nas Áreas CIENTÍFICO-HUMANÍSTICAS:  
Ciências e Tecnologias, Ciências Socioeconómicas, Línguas e Humanidades, Artes Visuais

Áreas de CURSOS PROFISSIONAIS:  
Ciências Informáticas",Ministério da Educação,0,4b537bb2-8747-47b2-867d-4707c4c0ee8e
-9.13092466787873,38.7265545168526,5,0601901071001001,999,Escola Secundária D. Luísa de Gusmão,"Rua da Penha de França, 193",+351 218 161 160,,Esd.luisagusmao@aenunogoncalves.com,http://www.aenunogoncalves.net/,"Cursos nas Áreas CIENTÍFICO-HUMANÍSTICAS:  
Ciências e Tecnologias, Ciências Socioeconómicas, Línguas e Humanidades

Áreas de CURSOS PROFISSIONAIS:  
Saúde, Desporto, Eletrónica e Automação",Ministério da Educação,0,2571640e-abff-4eca-9bc2-25ea67b7a4ac
-9.14016474068782,38.739726985315,6,4302215004001001,999,Escola Básica e Secundária D. Filipa de Lencastre,Avenida Magalhães Lima ,+351 218 407 045,,esfilipalencast@mail.telepac.pt,http://www.aedfl.pt/,"Cursos nas Áreas CIENTÍFICO-HUMANÍSTICAS: 
Ciências e Tecnologias, Ciências Socioeconómicas, Línguas e Humanidades",Ministério da Educação,0,540f4ae0-e074-4644-9e4c-0b7ba94a5d10
-9.1413403632052,38.7513554829074,7,4201702030001001,999,Escola Secundária Rainha D. Leonor,Rua Maria Amália Vaz de Carvalho,+351 218 428 880,,esec.rdl.dir@gmail.com,aerdl.eu/site,"Cursos nas Áreas CIENTÍFICO-HUMANÍSTICAS:  
Ciências e Tecnologias, Ciências Socioeconómicas, Línguas e Humanidades, Artes Visuais

Áreas de CURSOS PROFISSIONAIS:  
Ciências Informáticas",Ministério da Educação,0,09f1067e-b922-4646-a087-aeba672c59f4
-9.12801990971196,38.7164700571697,8,5100901026001001,999,Escola Básica e Secundária Gil Vicente,"Rua da Verónica, 37 ",+351 218 860 041,,geral@aegv.pt,https://www.aegv.site/,"Cursos nas Áreas CIENTÍFICO-HUMANÍSTICAS:  
Ciências e Tecnologias, Línguas e Humanidades

Áreas de CURSOS PROFISSIONAIS:  
Ciências Informáticas, Turismo e Lazer, Artes do Espetáculo, Comércio",Ministério da Educação,0,67388b28-65fc-497c-a5fc-8cb89b29c02e
-9.2140597930401,38.7097066539084,9,4001302007001001,999,Escola Secundária Restelo,Rua Antão Gonçalves,+351 213 016 528,,geral@aerestelo.pt,http://restelo-es.weebly.com/escolas-do-agrupamento.html,"Cursos nas Áreas CIENTÍFICO-HUMANÍSTICAS:  
Ciências e Tecnologias, Ciências Socioeconómicas, Línguas e Humanidades, Artes Visuais",Ministério da Educação,0,bc4687c7-870d-45bd-9932-3cd4ef4cba13
-9.18883520855817,38.7023861726557,10,0202901048001001,999,Escola Secundária Rainha D. Amélia,"Rua Jau, Alto de Santo Amaro",+351 213 616 060,,tesc0089@mail.telepac.pt,http://esrainhadonaamelia.ccems.pt/,"Cursos nas Áreas CIENTÍFICO-HUMANÍSTICAS:  
Ciências e Tecnologias, Ciências Socioeconómicas, Línguas e Humanidades, Artes Visuais",Ministério da Educação,0,33d40194-6325-431d-9963-404eddaab225
