X,Y,INF_NOME,INF_DESCRICAO,MORADA1,FREGUESIA
-9.156713271289892,38.7265022222289,Escola Secundária Maria Amália Vaz Carvalho,"Cursos nas Áreas CIENTÍFICO-HUMANÍSTICAS:  
Ciências e Tecnologias, Ciências Socioeconómicas, Línguas e Humanidades, Artes Visuais

Áreas de CURSOS PROFISSIONAIS:  
Desporto, Hotelaria e Restauração","['Escola Secundária Maria Amália Vaz de Carvalho', ' Rua Rodrigo da Fonseca', ' Campolide', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1099-074 SÃO SEBASTIÃO DA PEDREIRA', ' Portugal']",Campolide
-9.16222525841477,38.7419865266753,Escola Secundária D. Pedro V,"Cursos nas Áreas CIENTÍFICO-HUMANÍSTICAS:  
Ciências e Tecnologias, Ciências Socioeconómicas, Línguas e Humanidades

Áreas de CURSOS PROFISSIONAIS:  
Turismo e Lazer, Artes do Espetáculo, Desporto, Ciências Informáticas, Saúde, Comércio, Secretariado e Trabalho Administrativo","['Escola Secundária Dom Pedro V', ' Estrada das Laranjeiras', ' Sete Rios', ' São Sebastião da Pedreira', ' Avenidas Novas', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1099-023', ' Portugal']",Avenidas Novas
-9.19410643371218,38.747471434061204,Escola Secundária José Gomes Ferreira,"Cursos nas Áreas CIENTÍFICO-HUMANÍSTICAS:  
Ciências e Tecnologias, Ciências Socioeconómicas, Línguas e Humanidades, Artes Visuais

","['Escola Secundária José Gomes Ferreira', ' Rua Professor José Sebastião e Silva', ' Benfica', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1549-019', ' Portugal']",Benfica
-9.180851978544561,38.7615232380802,Escola Secundária Vergílio Ferreira,"Cursos nas Áreas CIENTÍFICO-HUMANÍSTICAS:  
Ciências e Tecnologias, Ciências Socioeconómicas, Línguas e Humanidades, Artes Visuais

Áreas de CURSOS PROFISSIONAIS:  
Ciências Informáticas","['Escola Secundária Vergílio Ferreira', ' Rua do Seminário', ' Carnide', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1600-413', ' Portugal']",Carnide
-9.13092466787873,38.7265545168526,Escola Secundária D. Luísa de Gusmão,"Cursos nas Áreas CIENTÍFICO-HUMANÍSTICAS:  
Ciências e Tecnologias, Ciências Socioeconómicas, Línguas e Humanidades

Áreas de CURSOS PROFISSIONAIS:  
Saúde, Desporto, Eletrónica e Automação","['Escola Secundária Dona Luisa de Gusmão', ' 193', ' Rua da Penha de França', ' Anjos', ' Arroios', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1199-011 LISBOA', ' Portugal']",Arroios
-9.140164740687819,38.739726985315,Escola Básica e Secundária D. Filipa de Lencastre,"Cursos nas Áreas CIENTÍFICO-HUMANÍSTICAS: 
Ciências e Tecnologias, Ciências Socioeconómicas, Línguas e Humanidades","['Escola Secundária Dona Filipa de Lencastre', ' Rua Desidério Bessa', ' Bairro do Arco do Cego', ' Areeiro', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1000-189', ' Portugal']",Areeiro
-9.141340363205199,38.7513554829074,Escola Secundária Rainha D. Leonor,"Cursos nas Áreas CIENTÍFICO-HUMANÍSTICAS:  
Ciências e Tecnologias, Ciências Socioeconómicas, Línguas e Humanidades, Artes Visuais

Áreas de CURSOS PROFISSIONAIS:  
Ciências Informáticas","['Escola Secundária Rainha Dona Leonor', ' Rua Silva e Albuquerque', ' Alvalade', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1700-349', ' Portugal']",Alvalade
-9.128019909711961,38.7164700571697,Escola Básica e Secundária Gil Vicente,"Cursos nas Áreas CIENTÍFICO-HUMANÍSTICAS:  
Ciências e Tecnologias, Línguas e Humanidades

Áreas de CURSOS PROFISSIONAIS:  
Ciências Informáticas, Turismo e Lazer, Artes do Espetáculo, Comércio","['Escola Secundária Gil Vicente', ' Campo de Santa Clara', ' São Vicente de Fora', ' São Vicente', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1100-472', ' Portugal']",São Vicente
-9.214059793040098,38.7097066539084,Escola Secundária Restelo,"Cursos nas Áreas CIENTÍFICO-HUMANÍSTICAS:  
Ciências e Tecnologias, Ciências Socioeconómicas, Línguas e Humanidades, Artes Visuais","['Escola Secundária do Restelo', ' Avenida das Descobertas', ' Restelo', ' São Francisco Xavier', ' Belém', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1400-406', ' Portugal']",Belém
-9.188835208558169,38.7023861726557,Escola Secundária Rainha D. Amélia,"Cursos nas Áreas CIENTÍFICO-HUMANÍSTICAS:  
Ciências e Tecnologias, Ciências Socioeconómicas, Línguas e Humanidades, Artes Visuais","['Escola Secundária Rainha Dona Amélia', ' Rua Jau', ' Santo Amaro', ' Alcântara', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1349-002', ' Portugal']",Alcântara
