X,Y,OBJECTID,COD_SIG,IDTIPO,INF_NOME,INF_MORADA,INF_TELEFONE,INF_FAX,INF_EMAIL,INF_SITE,INF_DESCRICAO,INF_FONTE,INF_MUNICIPAL,GlobalID
-9.16493516750481,38.7487438279598,1,3905602012001,2,Universidade Católica Portuguesa - Instituto de Estudos Políticos,Palma de Cima,+351 217 214 129,,secretariado.iep@iep.lisboa.ucp.pt,http://www.iep.lisboa.ucp.pt,Privado/Universitário,-,0,3f13b484-e848-4bfe-9a75-1d7aceb29d87
-9.16493516750481,38.7487438279598,2,3905602012001,2,Universidade Católica Portuguesa - Instituto de Estudos Europeus,Palma de Cima,+351 217 214 129,,secretariado.iep@iep.lisboa.ucp.pt,http://www.iep.lisboa.ucp.pt,Privado/Universitário,-,0,09a32da0-cc4d-4bfe-9771-3e4efdefcec3
-9.16493516750481,38.7487438279598,3,3905602012001,2,Universidade Católica Portuguesa - Faculdade de Ciências Económicas e Empresariais,"Palma de Cima
",+351 217 214 000,,info@reitoria.ucp.pt,http://www.fcee.lisboa.ucp.pt,Privado/Universitário,-,0,502e8059-5413-4965-97e4-c7f1a6badd92
-9.17700469271036,38.7043512818234,4,0202510010001,2,Escola Superior de Tecnologias e Artes de Lisboa,"Rua Rodrigues Faria, 7-7A;",,,Email: estal@estal.pt,Website: http://www.estal.pt,,https://www.dges.gov.pt/pt/pesquisa_cursos_instituicoes?plid=372&instituicao=&cursos=&distrito=11&ti,0,1767f99b-6187-41b4-aded-3e0e283ed138
-9.15647917931,38.7565819667243,5,0902002145001,2,Universidade de Lisboa - Faculdade de Ciências,Campo Grande,+351 217 500 000,,info.fcul@fc.ul.pt,http://www.fc.ul.pt,,-,0,eb692c0e-2c96-4c6a-b599-356489dda4fd
-9.149243584768,38.7156273496143,6,2201101029001,2,Instituto Superior de Comunicação Empresarial,"Praça do Príncipe Real, 27",+351 213 474 283,,regina.moreira@iscem.pt,http://www.iscem.pt,"Privado/Politécnico
",-,0,640fe6b7-9bde-45d0-a550-ca367fa17920
-9.1532507419767,38.749311378692,7,0902010207004,2,Universidade de Lisboa - Instituto Ciências Sociais,"Avenida Professor Aníbal de Bettencourt, 9",+351 217 804 700,,instituto.ciencias.sociais@ics.ul.pt,http://www.ics.ul.pt,,-,0,1f1bacec-d25d-4c38-882a-dd368f366c74
-9.16131254134002,38.733276346171,8,1003201501001,2,Universidade Nova de Lisboa  - Faculdade de Direito,Travessa de Estêvão Pinto,+351 213 847 400,,geral@fd.unl.pt,http://www.fd.unl.pt,,-,0,89d44a49-cdaa-42a2-8f1e-4a55a7946c12
-9.15305457237654,38.7579844997678,9,0901602002001,2,Universidade Lusófona de Humanidades e Tecnologias,"Campo Grande, 376",+351 217 515 500,,informacoes@ulusofona.pt,http://www.ulusofona.pt,"Privado/Universitário
",-,0,6789b5f6-b94f-4b6a-a30a-31ac0caa7fea
-9.15531802416027,38.7524442622792,10,0902010056001,2,Universidade de Lisboa - Faculdade de Psicologia ,Alameda da Universidade,+351 217 943 600,,cd@fpce.ul.pt,http://www.fpce.ul.pt,"O arq. Manuel Mendes Taínha foi o autor do projecto deste edifício para a Universidade de Lisboa,tendo tido como colaboradores os arqs. Alexandre Marques Pereira,Armando Melo (mobiliário urbano) e Júlio dos Santos Moreira (arranjos exteriores).A qualidade deste trabalho conjunto foi reconhecida com os Prémios Valmor e Municipal de Arquitectura de 1991.O júri justificou a sua decisão pela '(?) grande qualidade arquitectónica, obra bem implantada naquele espaço da Cidade Universitária, vista de fora apresentava uma hierarquização interessante, edifício voltado para dentro, sendo na concepção dos espaços interiores que se revelava em toda a sua qualidade e riqueza arquitectónicas.'.Concebida e construída na década de 80 do séc. XX,a FPCE ficou concluída no início da década seguinte.Na Alameda da Universidade,local marcado pelas obras monumentais de um dos arquitectos referência do Estado Novo,Pardal Monteiro,este edifício apreende muito bem o sítio onde está implantado.Com uma volumetria horizontal,avançando em todas as direcções,cria uma série de escalas distintas,contrariando a monumentalidade dominante na zona.Ao articular-se harmoniosamente com a formalidade da Alameda e com a informalidade da antiga Rua do Malpique,aproveita para resolver a relação entre os eixos de modo a organizar os dois sectores a partir de entradas/fachadas diferentes.Criada em 1980,esta Faculdade tem como missão três vertentes fundamentais:os serviços à comunidade,as actividades de ensino e a investigação.
",-,0,bc05db47-9567-4e6a-86e5-ea60fd4f817d
