X,Y,OBJECTID,COD_SIG,IDTIPO,INF_NOME,INF_MORADA,INF_TELEFONE,INF_FAX,INF_EMAIL,INF_SITE,INF_DESCRICAO,INF_FONTE,INF_MUNICIPAL,DTM_UPD,GlobalID
-9.15031958861195,38.7177377837967,1,4600702162001005,999,Teatro da Politécnica,"Rua da Escola Politécnica, 54 ",+351 213 916 750,,,,"O edifício que alberga o Teatro da Politécnica fica ao lado do Jardim Botânico, e integrou o antigo complexo da Faculdade de Ciências da Universidade de Lisboa. 
O pavilhão foi sede de sucessivas instituições, serviço e atividades da então Faculdade de Ciências, desde a Associação de Estudantes até a uma galeria de exposições que hoje coexiste com a sala de teatro propriamente dita. 
",-,0,1541003044000,4f51a8a7-9a58-4409-8d2e-222186c6b52c
-9.19291330392824,38.7606533020489,2,1102316001001004,999,Teatro Armando Cortez,"Estrada da Pontinha, 7 ",+351 217 110 890 | +351 912 342 334,,geral@casadoartista.net,http://www.casadoartista.net/,Apoiarte - Lotação/Capacidade 300 lugares.,-,0,1494930703000,24ad95a5-004f-4c72-a78f-877aaecfa6f2
-9.21166372386931,38.6942717033302,3,3200616034001001,999,Gabinete Curiosidades Karnart,"Avenida da Índia, 168",+351 213 466 411/+351 914 150 935 ,,geral@karnart.org,www.karnart.org,"O Gabinete Curiosidades Karnart é a sede da KARNART, Criação e Produção de Objetos Artísticos, associação que desenvolve projetos nas áreas da criação, investigação e produção de objetos artísticos (plásticos, performativos, audiovisuais e outros) centrados no conceito de PERFINST (PERFormance-INSTalação). A KARNART foi fundada em 2001 pelo ator, encenador e produtor Luís Castro, em associação com o artista plástico Vel Z (Velez), a designer de moda Fernanda Ramos, a fotógrafa Maria Campos e a produtora e realizadora Filipa Reis.",www.karnart.org,1,1566387077000,7e8b7812-a030-470b-b224-07743494d079
-9.20242575401629,38.7507180205561,4,0807103013001012,999,Teatro Turim,"Estrada de Benfica, 723A",+351 217 606 666,,geral@teatroturim.com,www.teatroturim.com,,-,0,1353542400000,e65a5e1d-6b7a-431d-91f7-022db79d919a
-9.14578047783811,38.7123038072079,5,2801402006003001,999,Teatro do Bairro,"Rua Luz Soriano, 63",+351 213 473 358,,teatrodobairro.geral@sapo.pt,www.teatrodobairro.org,"O Teatro do Bairro naceu em 2011, e, criou-se também uma nova companhia de teatro, que nasce já com oito espetáculos no curriculum e uma experiência de sete anos de produções: a Companhia Teatro do Bairro.",-,0,1552411457000,276f5f19-57de-434a-b851-7321a171afac
-9.13166915295866,38.7110708389463,6,3400404018001002,999,Café - Teatro Santiago Alquimista,"Rua de Santiago, 19",21 888 45 03,,mail@santiagoalquimista.com,www.santiagoalquimista.com/,,http://agendalx.pt/cgi-bin/iportal_agendalx,0,1542976377000,1d8ef488-78ca-447a-a2fb-e3fd88abc299
-9.15493058167654,38.7161159966681,7,3001101216001004,999,Espaço Eclipse,Rua de São Bento 245 4º ,,, eclipsearte@hotmail.com,,,http://agendalx.pt/cgi-bin/iportal_agendalx,0,1357642638000,cf88cd2a-94ed-4d20-8c5e-345977a39239
-9.11209556719685,38.7458667416328,8,2103501048001001,999,Casa Conveniente- Zona não Vigiada,"Avenida João Paulo II, Lote 536 - 1º A;",+351 912 818 164 / +351 967 580 171,,casaconveniente.zonanaovigiada@gmail.com,,Companhia de teatro dirigida por  Mónica Calle. Em 2014 a companhia migra do Cais do Sodré para a Zona J de Chelas.,-,0,1455292539000,861d3d31-865d-411c-86aa-fe8b24d33937
-9.21780836839764,38.6946077984052,9,3202301110001,2,Academia Dramática Familiar 1º de Novembro,"Rua da Praia de Pedrouços, 76-78",+351 213 012 601,,,,"Edifício do séc XIX de arquitectura cultural e recreativa. Academia com auditório de planta rectangular composto pela justaposição de 2 rectângulos, respectivamente, caixa de palco e plateia animada por galeria de implantação em U, ao nível do 1º andar. Destaca-se o registo azulejar industrial (branco, azul e amarelo) que anima a fachada principal, de tratamento plástico coincidente com o gosto arte nova, com a denominação do clube ladeada por duas cabeças femininas.",-,0,1487161340000,9268a82b-2c3b-4a0f-b1b0-e6a41e81df57
-9.15846482170222,38.7361907050444,10,1003107001001,2,Teatro Aberto,Praça Espanha,+351 213 880 089,,relacoespublicas@teatroaberto.com / bilheteira@teatroaberto.com,www.teatroaberto.com/,"Lotação/Capacidade 450 lugares.
",-,0,1542976507000,f9e0048c-6605-49c4-8214-80ed9ccc27a9
-9.14229062446891,38.7092139590297,11,2000107005001,2,São Luiz Teatro Municipal,"Rua António Maria Cardoso, 38",+351 213 257 650,,info@teatrosaoluiz.pt, www.teatrosaoluiz.pt,"Inicialmente chamado Teatro de D. Amélia, foi construído em 1893. O projecto era de Luiz Ernesto Reynaud, e as decorações de Manini e Rossi, à maneira dos teatros europeus do século passado. O teatro ardeu quase totalmente em 1914, tendo apenas escapado o Salão de Inverno, com pinturas de Manini. Foi reedificado entre 1915-1916, com projecto do arq. Tertuliano Marques e decorações do pintor espanhol Marin. O salão de Inverno foi destruído para dar lugar a uma sala com um interessante foyer em estilo pompeiano, com lápides comemorativas dos grandes nomes que passaram pelo teatro.Em 1971,  é comprado pela CML - Lotação/Capacidade 690 lugares.
",-,1,1542976091000,e7901f5b-a3b7-4609-8ec7-010eee596fa5
-9.14495579296625,38.7204853980645,12,4501201044001,2,Teatro Tivoli BBVA,"Avenida da Liberdade, 182 A",+351 213 303 500,,teatro.tivolibbva@uau.pt,https://www.teatrotivolibbva.pt/,"Erguido por Federico Lima Mayer este cinema foi inaugurado em 1924, segundo projeto do arq. Raúl Lino. Esta obra revela uma excelente presença urbana, traduzindo uma planta composta, quase quadrangular, estruturada em dois pisos, cave, cobertura e cúpula e em telhado escalonado, desenvolvendo-se por vários corpos, articulados horizontalmente, em gaveto. Trata-se de um edifício que se caracteriza pela profusão e ecletismo dos seus elementos de referência neoclássica, no exterior, e Luís XIV, no âmbito da decoração interior. Esta sala sóbria e bem proporcionada foi durante largos anos a sala mais elegante de Lisboa. ",-,0,1525432516000,b6a3ae96-a70b-4a33-aba5-1bc62b1fed76
-9.14642168899969,38.7193513723456,13,4600702072001,2,Teatro Maria Vitória,"Travessa do Salitre, 35, Parque Mayer",21 347 54 54 / 21 347 04  68,,teatromv@sapo.pt,www.teatromariavitoria.com,"Localiza-se no Parque Mayer e tem capacidade para 658 lugares.
",-,0,1525432545000,7399863e-ba8a-4fb7-b70d-041e2d3a0ac9
-9.13291109899177,38.7148688730582,14,5300904041001,2,Teatro Taborda (Teatro da Garagem),"Costa do Castelo, 75",+351 218 854 190,,geral@teatrodagaragem.com,https://teatrodagaragem.com ,"Inaugurado em 1870 este edifício cumpriu a sua função de sala de espectáculos de bairro até à atualidade. Após um período de decadência extrema sofreu obras, segundo projecto dos arqs. Nuno Teotónio Pereira e Bartolomeu Costa Cabral levadas a a efeito pela CML - DMRU, sendo reinaugurado em 1995. Esta intervenção, que valeu a atribuição de uma menção honrosa do Prémio Eugénio dos Santos em 1997, respeitou os elementos tradicionais existentes, mas, superando a ideia de simples restauro ou reconstrução, ampliou espaços interiores, criou transparências entre frente e traseiras, abriu o edifício ao exterior.

Lotação/Capacidade 150 lugares
Café da Garagem / Café Bar
Companhia residente desde 2005 - Teatro da Garagem.",Fonte: http://agendalx.pt/cgi-bin/iportal_agendalx,1,1553099081000,5c5c37ff-b87e-444e-ba05-700eee9f7411
-9.18071128889634,38.7144996175677,15,0202625005001,2,Teatro Lanterna Mágica,Bairro do Alvito,213 616 820 / 967 024 374,,lanterna.magica@clix.pt,www.lanternamagica.pt/margemsul.html,,www.lanternamagica.pt/margemsul.html,0,1486382135000,8c36d8d2-4ff5-4f56-8368-6c3fc9df1e9c
