X,Y,INF_NOME,INF_DESCRICAO,MORADA1,FREGUESIA
-9.16493516750481,38.74874382795979,Universidade Católica Portuguesa - Instituto de Estudos Políticos,Privado/Universitário,"['Universidade Católica Portuguesa Lisboa', ' Rua Azevedo Neves', ' São Domingos de Benfica', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1600', ' Portugal']",São Domingos de Benfica
-9.16493516750481,38.74874382795979,Universidade Católica Portuguesa - Instituto de Estudos Europeus,Privado/Universitário,"['Universidade Católica Portuguesa Lisboa', ' Rua Azevedo Neves', ' São Domingos de Benfica', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1600', ' Portugal']",São Domingos de Benfica
-9.16493516750481,38.74874382795979,Universidade Católica Portuguesa - Faculdade de Ciências Económicas e Empresariais,Privado/Universitário,"['Universidade Católica Portuguesa Lisboa', ' Rua Azevedo Neves', ' São Domingos de Benfica', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1600', ' Portugal']",São Domingos de Benfica
-9.177004692710359,38.7043512818234,Escola Superior de Tecnologias e Artes de Lisboa,,"['Rua Rodrigues Faria', ' Santo Amaro', ' Alcântara', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1300-255', ' Portugal']",Alcântara
-9.15647917931,38.7565819667243,Universidade de Lisboa - Faculdade de Ciências,,"['Faculdade de Ciências da Universidade de Lisboa', ' Campo Grande', ' São João de Brito', ' Alvalade', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1749-016', ' Portugal']",Alvalade
-9.149243584768,38.715627349614294,Instituto Superior de Comunicação Empresarial,"Privado/Politécnico
","['Embaixada dos Emirados Árabes Unidos', ' 15;16;17', ' Praça do Príncipe Real', ' Santo António', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1269-127', ' Portugal']",Santo António
-9.153250741976699,38.749311378692,Universidade de Lisboa - Instituto Ciências Sociais,,"['ISCTE-IUL II', ' Avenida Professor Aníbal Bettencourt', ' Alvalade', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1649-026', ' Portugal']",Alvalade
-9.16131254134002,38.733276346170996,Universidade Nova de Lisboa  - Faculdade de Direito,,"['Faculdade de Direito', ' Travessa de Estêvão Pinto', ' Campolide', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1099-032 LISBOA', ' Portugal']",Campolide
-9.153054572376538,38.757984499767794,Universidade Lusófona de Humanidades e Tecnologias,"Privado/Universitário
","['Universidade Lusófona de Humanidades e Tecnologias', ' Campo Grande', ' São João de Brito', ' Alvalade', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1700-097 LISBOA', ' Portugal']",Alvalade
-9.15531802416027,38.752444262279205,Universidade de Lisboa - Faculdade de Psicologia ,"O arq. Manuel Mendes Taínha foi o autor do projecto deste edifício para a Universidade de Lisboa,tendo tido como colaboradores os arqs. Alexandre Marques Pereira,Armando Melo (mobiliário urbano) e Júlio dos Santos Moreira (arranjos exteriores).A qualidade deste trabalho conjunto foi reconhecida com os Prémios Valmor e Municipal de Arquitectura de 1991.O júri justificou a sua decisão pela '(?) grande qualidade arquitectónica, obra bem implantada naquele espaço da Cidade Universitária, vista de fora apresentava uma hierarquização interessante, edifício voltado para dentro, sendo na concepção dos espaços interiores que se revelava em toda a sua qualidade e riqueza arquitectónicas.'.Concebida e construída na década de 80 do séc. XX,a FPCE ficou concluída no início da década seguinte.Na Alameda da Universidade,local marcado pelas obras monumentais de um dos arquitectos referência do Estado Novo,Pardal Monteiro,este edifício apreende muito bem o sítio onde está implantado.Com uma volumetria horizontal,avançando em todas as direcções,cria uma série de escalas distintas,contrariando a monumentalidade dominante na zona.Ao articular-se harmoniosamente com a formalidade da Alameda e com a informalidade da antiga Rua do Malpique,aproveita para resolver a relação entre os eixos de modo a organizar os dois sectores a partir de entradas/fachadas diferentes.Criada em 1980,esta Faculdade tem como missão três vertentes fundamentais:os serviços à comunidade,as actividades de ensino e a investigação.
","['Faculdade de Psicologia da Universidade de Lisboa', ' Rua Professor António Flores', ' Alvalade', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1649-026', ' Portugal']",Alvalade
-9.15496136244975,38.748079905814706,Universidade de Lisboa - Faculdade de Farmácia,"A Faculdade de Farmácia utiliza para as suas instalações um edifício que, inserido no plano geral da cidade universitária de Lisboa, da autoria do gabinete de arquitectos Pardal Monteiro, foi edificado ainda no séc. XIX, dentro do estilo eclético e revivalista então em moda.
","['Universidade de Lisboa - Cidade Universitária', ' Alameda da Universidade', ' Alvalade', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1649-028', ' Portugal']",Alvalade
-9.14646604062192,38.7082552374305,Instituto Superior de Ciências da Administração,"Privado/Politécnico
","['Instituto Superior de Ciências da Administração', ' 89', ' Rua de São Paulo', ' São Paulo', ' Misericórdia', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1200 – 427 LISBOA', ' Portugal']",Misericórdia
-9.19792597957041,38.7132592431697,Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas,,"['Instituto Superior de Ciências Sociais e Políticas', ' Rua Almerindo Lessa', ' Ajuda', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1300-663', ' Portugal']",Ajuda
-9.14056258566251,38.7088352404599,Faculdade de Belas-Artes da Universidade de Lisboa ,,"['Faculdade de Belas-Artes da Universidade de Lisboa', ' Largo da Academia Nacional de Belas Artes', ' Mártires', ' Chiado', ' Santa Maria Maior', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1249-058', ' Portugal']",Santa Maria Maior
-9.161270155231641,38.7466761825771,Universidade de Lisboa - Faculdade de Medicina,,"['Hospital Santa Maria', ' Avenida Professor Egas Moniz', ' Alvalade', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1649-035', ' Portugal']",Alvalade
